3.22914 9.29951e+016    
3.40819 8.28643e+016    
3.59332 7.47895e+016    
3.81791 6.69272e+016    
4.0698  5.81271e+016    
4.30653 5.02688e+016    
4.54325 4.25542e+016    
4.80425 3.55648e+016    
5.05615 2.84804e+016    
5.25948 2.32995e+016    
5.45372 1.8899e+016 
5.62974 1.51343e+016    
5.81487 1.18129e+016    
6.0091  8.87262e+015    
6.19727 6.57933e+015    
6.37633 4.96287e+015    
6.57967 3.51119e+015    
6.79818 2.45251e+015    
7.01366 1.72037e+015    
7.19879 1.25409e+015    
7.27769 1.09854e+015    
